sku,title,description,quantity,price,images,optionname1,optionname2,optionname3,optionname4,optionname5,option1,option2,option3,option4,option5,product_identifier,product_identifier_type,brand,cost
IF_E67A3264,POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card – 100 % Authentic New,"100% Authentic POP MART POP MART Labubu Wacky Mart Series Vinyl Plush Hanging Card
• 🎁 Brand‑new, factory‑sealed in original packaging
• ✅ Official Pop Mart product – not sold in U.S. stores
• 🐰 Cute Labubu pendant made of soft vinyl, approximately 7″ tall
• ✨ Exclusive release from the Wacky Mart series, perfect for fans of The Monsters and Pop Mart collectors",0,100.0000,"https://i.frg.im/U3fmDLrl/406099925126-0.jpg,https://i.frg.im/RwsEHrpz/406099925126-1.jpg,https://i.frg.im/v9KcbeZF/406099925126-2.jpg,https://i.frg.im/qzAvjtRp/406099925126-3.jpg,https://i.frg.im/SihbpNc1/406099925126-4.jpg",,,,,,,,,,,,,,
IF_23CB7D69,2025 SKULLPANDA SHANGHAI'S “SIEGE AND CONFINEMENT” - US SELLER,"100% Authentic POP MART 2025 SKULLPANDA SHANGHAI'S “SIEGE AND CONFINEMENT” - US SELLER
• 🎁 Brand‑new, factory‑sealed in original packaging
• ✅ Official Pop Mart product – not sold in U.S. stores
• 🏮 Limited edition 2025 Shanghai exhibition exclusive hanger card
• ✨ Rare ""Siege and Confinement"" series figure with official QR authentication
• 🎯 Highly sought-after collector piece from exclusive Shanghai drop",3,130.0000,"https://i.frg.im/XnLE00Uy/406076050752-0.jpg,https://i.frg.im/krku0uLJ/406076050752-1.jpg,https://i.frg.im/8bf1f4gU/406076050752-2.jpg,https://i.frg.im/UJZfyeNI/406076050752-3.jpg",,,,,,,,,,,,,,
IF_2B221F94,POP MART Labubu The Monsters Big Into Energy Wireless Phone Charger – Authentic,"100% Authentic POP MART POP MART Labubu The Monsters Big Into Energy Wireless Phone Charger
• 🎁 Brand‑new, factory‑sealed in original packaging
• ✅ Official Pop Mart product – 100% authentic
• 🔌 Qi-certified wireless charger compatible with iPhone, Samsung, and all Qi-enabled devices
• ⚡ Fast charging technology with LED status indicator and non-slip base
• ✨ Sleek Labubu-themed design perfect for desk, nightstand, or workspace",0,50.0000,"https://i.frg.im/OlJuz2vu/406101734910-0.jpg,https://i.frg.im/dDqr6jmp/406101734910-1.jpg,https://i.frg.im/se2Qamey/406101734910-2.jpg,https://i.frg.im/K2mLPf4a/406101734910-3.jpg,https://i.frg.im/pEqlHbqO/406101734910-4.jpg,https://i.frg.im/lA8IlIT9/406101734910-5.jpg,https://i.frg.im/bZmLmqzO/406101734910-6.jpg",,,,,,,,,,,,,,
IF_D5F941E7,POP MART – Crybaby Crying Again Vinyl Face Plush (Single Box),"100% Authentic POP MART release – Crybaby Crying Again Vinyl Face Plush Blind Box
• Brand new and sealed in original packaging
• Series: Crying Again
• Official global release
• Includes one random plush with a vinyl face and soft plush body – chance to pull the secret edition
• Perfect for POP MART fans, mystery box lovers, and designer plush collectors",6,40.0000,"https://i.frg.im/ntyyXTjm/406114077631-0.jpg,https://i.frg.im/lIQ9rABL/406114077631-1.jpg,https://i.frg.im/ZleQp7R6/406114077631-2.jpg,https://i.frg.im/TOfdgRyz/406114077631-3.jpg",,,,,,,,,,,,,,
,3D Printed Pumpkin Outfit for Labubu 🎃,"100% Authentic POP MART 3D Printed Pumpkin Outfit for Labubu 🎃
• 🎁 Brand‑new, factory‑sealed in original packaging
• ✅ Official Pop Mart product – 100% authentic
• 🎃 Custom 3D printed Halloween outfit set designed for standard Labubu figures
• 🧡 Includes pumpkin costume, mini prop, and headband - customizable colors available
• ✨ Perfect for Halloween displays, photoshoots, or seasonal collection themes",,,"https://i.frg.im/ny4u9Loh/406098217734-0.jpg,https://i.frg.im/OttuNXmw/406098217734-0.jpg,https://i.frg.im/ujmuggmi/406098217734-1.jpg,https://i.frg.im/gyoNO59j/406098217734-1.jpg,https://i.frg.im/fweD5klv/406098217734-2.jpg,https://i.frg.im/l6My65qy/406098217734-2.jpg,https://i.frg.im/mSCZOhgD/406098217734-3.jpg,https://i.frg.im/mh0Y9Acg/406098217734-4.jpg,https://i.frg.im/X4gwif5g/406098217734-5.jpg,https://i.frg.im/igckruTe/406098217734-6.jpg,https://i.frg.im/GpTEcwjk/406098217734-7.jpg,https://i.frg.im/YJWnnaeo/406098217734-8.jpg,https://i.frg.im/bqmKuGmc/406098217734-9.jpg,https://i.frg.im/UEhgsJrc/406098217734-10.jpg",Color,,,,,,,,,,,,,
IF_E7A6475F,,,5,10.0000,,,,,,,Purple,,,,,,,,
IF_020F9042,,,5,10.0000,,,,,,,gold,,,,,,,,
IF_B4C1478C,,,5,10.0000,,,,,,,Green,,,,,,,,
IF_8EB14ACD,,,5,10.0000,,,,,,,Lime green,,,,,,,,
IF_65B3802A,,,5,10.0000,,,,,,,Teal,,,,,,,,
IF_0CEFBEAC,,,5,10.0000,,,,,,,Grey,,,,,,,,
IF_02295322,,,5,10.0000,,,,,,,Black,,,,,,,,
IF_8A76FF44,,,5,10.0000,,,,,,,Hot Pink,,,,,,,,
IF_82872B66,,,5,10.0000,,,,,,,White,,,,,,,,
IF_06E4288A,,,5,10.0000,,,,,,,Multi Color,,,,,,,,
IF_14A58083,,,5,10.0000,,,,,,,Red,,,,,,,,
